,vineyard,name,price,score,number of ratings,ratings,country,region
0,El Enemigo,Cabernet Franc 2018,47,4.4,1623,1623, Argentina,Mendoza
1,Anthonij Rupert,Optima 2017,48,4.4,853,853, South Africa,Franschhoek
2,Abbaye de Fontfroide,Déo Gratias Rouge 2018,49.90,4.4,43,43, France,Corbières
3,Soumah,The Butcher Red Blend 2019,49,4.4,28,28, ,
4,El Enemigo,Malbec 2018,47,4.3,1768,1768, Argentina,Mendoza
5,Tenuta Ulisse,Amaranta Montepulciano d'Abruzzo 2018,49,4.3,1403,1403, Italy,Montepulciano d'Abruzzo
6,Tenuta Valleselle,Ripa Magna Corvina 2019,47,4.3,1098,1098, Italy,Verona
7,Schola Sarmenti,Antièri Susumaniello 2019,49.95,4.3,485,485, Italy,Salento
8,Schola Sarmenti,Antièri Susumaniello 2018,49.95,4.3,468,468, Italy,Salento
9,El Enemigo,Syrah - Viognier 2018,47,4.3,198,198, Argentina,Mendoza
10,Vinosia,Salènde Appassimento Primitivo 2019,42,4.3,194,194, Italy,Campania
11,Monte Faustino,La Traversagna Valpolicella Ripasso Classico Superiore 2017,46,4.3,139,139, Italy,Valpolicella Ripasso Classico
12,Soumah,The Butcher Red Blend 2018,49,4.3,79,79, ,
13,Schuchmann,Khvanchkara Red Semi Sweet 2019,42,4.3,48,48, Georgia,Kakheti
14,Jasci & Marchesani,Rudhir Montepulciano d'Abruzzo 2017,49,4.3,37,37, Italy,Montepulciano d'Abruzzo
15,Marqués de Riscal,Rioja Reserva 2016,43.61,4.2,15752,15752, Spain,Rioja
16,Tinazzi,Ca' de' Rocchi Valpolicella Ripasso Superiore Monterè 2018,45,4.2,1477,1477, Italy,Valpolicella Ripasso
17,Marques de Casa Concha,Carmenère 2019,39,4.2,1083,1083, Chile,Peumo
18,Marques de Casa Concha,Etiqueta Negra 2018,49,4.2,1062,1062, Chile,Puente Alto
19,Guerrieri,Guerriero Nero 2019,43,4.2,681,681, Italy,Marche
20,Schola Sarmenti,Roccamora Negroamaro 2019,39.95,4.2,634,634, Italy,Nardò
21,Li Veli,Orion Primitivo 2020,49.25,4.2,482,482, Italy,Salento
22,Barbanera,Collezione Famiglia Vecciano Toscana 2017,45,4.2,471,471, Italy,Toscana
23,Soraighe,Valpolicella Ripasso Superiore 2019,46,4.2,399,399, Italy,Valpolicella Ripasso
24,Schola Sarmenti,Nerìo Riserva  Negroamaro - Malvasia Nera 2017,48,4.2,346,346, Italy,Nardò
25,Nativ,Suadens Campania Rosso 2019,47,4.2,260,260, Italy,Campania
26,Tinazzi,Vinum Italicum No 3 Opera 2019,47.95,4.2,254,254, Italy,Veneto
27,Campagnola,Valpolicella Classico Le Bine 2019,45,4.2,185,185, Italy,Valpolicella Classico
28,Masca del Tacco,Lu Rappaio Primitivo di Manduria 2020,45,4.2,131,131, Italy,Primitivo di Manduria
29,Marques de Casa Concha,Cabernet Sauvignon 2019,39,4.2,74,74, Chile,Puente Alto
30,Château Montana,Silencio 2016,48,4.2,56,56, France,Côtes du Roussillon
31,Greenock Creek,Four Cuttings Shiraz 2019,49,4.2,51,51, Australia,Barossa Valley
32,Greenock Creek,Stone Block Shiraz 2019,49,4.2,50,50, Australia,Barossa Valley
33,Campagnola,Podere Frontino Montepulciano d'Abruzzo 2019,40,4.2,45,45, Italy,Montepulciano d'Abruzzo
34,Millaman,Limited Reserve Barrel Aged Carmenère 2019,50,4.2,28,28, Chile,Maule Valley
35,Tomás Postigo,3er Año Ribera del Duero Tinto 2017,44.08,4.4,2050,2050, Spain,Ribera del Duero
36,Bodegas Mauro,Red 2019,46.47,4.4,1459,1459, Spain,Castilla y León
37,Juan Gil,Jumilla Blue Label 2019,35.18,4.4,777,777, Spain,Jumilla
38,Emilio Moro,Malleolus 2019,47.94,4.4,773,773, Spain,Ribera del Duero
39,Bella Union,Cabernet Sauvignon 2015,48,4.4,578,578, United States,Napa Valley
40,Attanasio,Primitivo di Manduria 2015,44.85,4.4,307,307, Italy,Primitivo di Manduria
41,Antídoto,La Hormiga de Antídoto 2019,45.39,4.4,302,302, Spain,Ribera del Duero
42,Domaine Tempier,Bandol Rouge 2019,43.30,4.4,280,280, France,Bandol
43,Artadi,Valdegines 2018,48,4.4,144,144, Spain,Vino de España
44,Pago de Vallegarcía,Montes de Toledo Syrah 2019,32.86,4.4,77,77, Spain,Castilla
45,Domaine de la Grand'Cour - Jean Louis Dutraive,Fleurie 'Clos de la Grand'Cour' 2020,44.85,4.4,69,69, France,Fleurie
46,Marion,Teroldego 2017,46.40,4.4,68,68, Italy,Veneto
47,Castillo Perelada,Empordà Gran Claustro 2015,46.24,4.4,63,63, Spain,Empordà
48,Pago de Vallegarcía,Hipperia Red Blend 2018,44.85,4.4,62,62, Spain,Castilla
49,Domaine de la Ferté,Givry Premier Cru 'Servoisine' 2019,47.94,4.4,57,57, France,Givry 1er Cru 'Servoisine'
50,Le Coste,Le Primeur Pour les Filles 2020,37.66,4.4,56,56, Italy,Lazio
51,Emilio Moro,Vendimia Seleccionada 2019,34.95,4.4,55,55, Spain,Ribera del Duero
52,Dezi,Solo 2013,48.72,4.4,53,53, Italy,Marche
53,Albert Bichot,Bourgogne Hautes-Côtes de Nuits Les Dames Huguettes 2019,46,4.4,52,52, France,Bourgogne Hautes-Côtes de Nuits
54,Coume del Mas,Quadratur 2019,38.66,4.4,36,36, France,Collioure
55,Joan d'Anguera,Planella 2020,25.36,4.4,28,28, Spain,Montsant
56,Duckhorn,Napa Valley Merlot 2017,45,4.3,3788,3788, United States,Napa Valley
57,Pago de Los Capellanes,Crianza Tinto 2019,33.48,4.3,783,783, Spain,Ribera del Duero
58,San Marzano,F Negroamaro 2019,40.21,4.3,521,521, Italy,Salento
59,Domaine du Père Caboche,Châteauneuf-du-Pape 2019,46,4.3,448,448, France,Châteauneuf-du-Pape
60,Carmelo Rodero,Crianza 2019,33.33,4.3,424,424, Spain,Ribera del Duero
61,Finca Torremilanos,Torre Albéniz Reserva Ribera del Duero 2016,44.62,4.3,403,403, Spain,Ribera del Duero
62,Marramiero,Inferi Montepulciano d'Abruzzo Riserva 2017,34.80,4.3,380,380, Italy,Montepulciano d'Abruzzo
63,Áster,Finca El Otero 2016,40.06,4.3,372,372, Spain,Ribera del Duero
64,Dominio del Bendito,Las Sabias 2017,33.33,4.3,258,258, Spain,Toro
65,Rimauresq,Côtes de Provence (Cru Classé) 2020,40.21,4.3,217,217, France,Côtes de Provence
66,Jean Foillard,Morgon 'Cuvée Corcelette' 2019,46.09,4.3,206,206, France,Morgon
67,Castillo Perelada,Finca Malaveïna 2018,29.93,4.3,199,199, Spain,Empordà
68,Bosque de Matasnos,Bosque de Matasnos Etiqueta Blanca 2019,38.59,4.3,175,175, Spain,Ribera del Duero
69,Domaine de la Ferté,Givry 2019,34.02,4.3,136,136, France,Givry
70,Pittacum,Aurea 2012,42.45,4.3,130,130, Spain,Bierzo
71,Salentein,Primus Malbec (Primum) 2003,35.53,4.3,129,129, Argentina,Tunuyán
72,Adega de Pegões,Grande Reserva 2017,45,4.3,123,123, Portugal,Península de Setúbal
73,Matassa,Tattouine Rouge 2020,49.03,4.3,120,120, France,Vin de France
74,Dominio del Bendito,Las Sabias 2018,33.72,4.3,112,112, Spain,Toro
75,Domaine Tempier,Bandol Rouge 2020,43.30,4.3,110,110, France,Bandol
76,Château de Pibarnon,Bandol 2020,49.95,4.3,93,93, France,Bandol
77,Mas de la Seranne,Antonin et Louis Terrasses du Larzac 2018,40.21,4.3,83,83, France,Terrasses du Larzac
78,Losada,Altos de Losada 2019,28.77,4.3,80,80, Spain,Bierzo
79,Mount Edward,Pinot Noir 2018,43.76,4.3,64,64, New Zealand,Central Otago
80,Martí Fabra,Masia Carreras Negre 2019,26.14,4.3,61,61, Spain,Empordà
81,Ferrer Bobet,Priorat 2018,43.77,4.3,61,61, Spain,Priorat
82,Domaine Génot-Boulanger,Mercurey-Sazenay Premier Cru 2018,44.85,4.3,57,57, France,Mercurey 1er Cru 'Sazenay'
83,Michel Juillot,Mercurey 2019,32.48,4.3,54,54, France,Mercurey
84,Envínate,Lousas Viña de Aldea 2020,30.16,4.3,51,51, Spain,Ribeira Sacra
85,Tridente,Prieto Picudo 2018,33.87,4.3,49,49, Spain,Castilla y León
86,Domaine Ragot,Teppe des Chenèves Givry 2018,34.02,4.3,40,40, France,Givry
87,Abadal,3.9 2018,36.04,4.3,38,38, Spain,Pla de Bages
88,Castell del Remei,Costers Del Segre 1780 2017,35.42,4.3,37,37, Spain,Costers del Segre
89,Clos du Tue-Boeuf,La Caillère Cheverny 2018,35.57,4.3,35,35, France,Cheverny
90,Altanza,Club Rioja Reserva 2012,29.62,4.3,32,32, Spain,Rioja
91,Abadía Retuerta,Selección Especial 2018,41.53,4.3,30,30, Spain,Sardón de Duero
92,Enate,Syrah (Shiraz) 2017,36.04,4.3,30,30, Spain,Somontano
93,Maxime Magnon,Rozeta Corbières 2020,41.60,4.3,29,29, France,Corbières
94,Saxenburg,Private Collection Cabernet Sauvignon 2003,49.35,4.3,28,28, South Africa,Stellenbosch
95,Teusner,Big Jim Shiraz 2019,47,4.3,27,27, Australia,Barossa Valley
96,Finca el Origen,Reserva Malbec 2020,32.08,4.3,25,25, Argentina,Mendoza
97,Antinori,Tenuta Guado al Tasso Il Bruciato Bolgheri 2019,37.12,4.2,5376,5376, Italy,Bolgheri
98,R. López de Heredia Viña Tondonia,Viña Bosconia Reserva 2008,37.97,4.2,2848,2848, Spain,Rioja Alta
99,R. López de Heredia Viña Tondonia,Viña Bosconia Reserva 2007,41.45,4.2,2803,2803, Spain,Rioja Alta
